,PH,PL
2003-01-16,922.0833333333333,923.8333333333334
2003-01-17,910.5416666666667,918.1666666666666
2003-01-20,909.0,909.75
2003-01-21,896.2083333333333,904.3333333333334
2003-01-22,884.625,891.0
2003-01-23,887.875,887.5
2003-01-24,869.0,880.25
2003-01-27,854.1666666666667,859.9166666666666
2003-01-28,858.8333333333333,856.8333333333334
2003-01-29,862.7916666666667,853.9166666666666
2003-01-30,849.4166666666667,862.6666666666666
2003-01-31,857.2083333333333,849.5833333333334
2003-02-03,863.6666666666667,864.1666666666666
2003-02-04,854.375,854.75
2003-02-05,851.5833333333333,857.8333333333334
2003-02-06,844.9166666666667,843.1666666666666
2003-02-07,837.7916666666667,844.6666666666666
2003-02-10,838.8333333333333,832.3333333333334
2003-02-11,835.875,839.25
2003-02-12,824.125,831.25
2003-02-13,822.2916666666667,817.1666666666666
2003-02-14,838.1666666666667,826.6666666666666
2003-02-17,845.5,843.25
2003-02-18,854.2083333333333,847.3333333333334
2003-02-19,851.125,849.25
2003-02-20,845.4166666666667,850.4166666666666
2003-02-21,850.1666666666667,843.9166666666666
2003-02-24,840.25,848.5
2003-02-25,841.0416666666667,829.9166666666666
2003-02-26,835.0,841.75
2003-02-27,841.8333333333333,837.5833333333334
2003-02-28,845.7916666666667,845.1666666666666
2003-03-03,842.8333333333333,849.8333333333334
2003-03-04,829.5,836.25
2003-03-05,832.7083333333333,827.3333333333334
2003-03-06,827.75,830.75
2003-03-07,830.4583333333333,821.3333333333334
2003-03-10,815.7916666666667,824.9166666666666
2003-03-11,807.5416666666667,814.4166666666666
2003-03-12,807.9166666666667,799.4166666666666
2003-03-13,833.4583333333333,819.0833333333334
2003-03-14,839.75,841.25
2003-03-17,860.9166666666667,842.6666666666666
2003-03-18,871.6666666666667,869.9166666666666
2003-03-19,876.75,871.5
2003-03-20,878.5416666666667,871.9166666666666
2003-03-21,890.2733154296875,884.6133422851562
2003-03-24,871.6666666666667,881.1666666666666
2003-03-25,875.7083333333333,871.0833333333334
2003-03-26,873.7083333333333,875.8333333333334
2003-03-27,871.7083333333333,869.3333333333334
